lab,lab_gg,lon,lat
Aberdeen,"Aberdeen, NSW",150.8914436,-32.1680712
Booral,"Booral, NSW",151.9675807,-32.4649718
Branxton,"Branxton, NSW",151.3513996,-32.6559544
Caroona,"Caroona, NSW",150.4259194,-31.4068398
Cassilis,"Cassilis, NSW",149.9788293,-32.0063851
Clarence Town,"Clarence Town, NSW",151.77775,-32.585028
Denman,"Denman, NSW",150.683333,-32.383333
Dungog,"Dungog, NSW",151.757979,-32.3998381
Elderslie,"Elderslie, NSW",151.3634362,-32.58222649
Glendon,"Glendon, NSW",151.2860306,-32.5852204
Gloucester,"Gloucester, NSW",151.95875,-32.0233309
Gresford,"Gresford, NSW",151.5526668,-32.4298609
Jerrys Plains,"Jerrys Plains, NSW",150.9038421,-32.4911159
Kirkton,"Kirkton, NSW",151.290102,-32.6094992
Merriwa,"Merriwa, NSW",150.3557351,-32.1393377
Moonan Flat,"Moonan Flat, NSW",151.2082628,-31.9258438
Mt Pleasant,"Mt Pleasant, NSW",150.8019117,-32.253118
Murrurundi,"Murrurundi, NSW",150.8325894,-31.7638982
Muswellbrook,"Muswellbrook, NSW",150.9049638,-32.2848467
Paterson,"Paterson, NSW",151.6,-32.583333
Quirindi,"Quirindi, NSW",150.68,-31.508056
Sandy Hollow,"Sandy Hollow, NSW",150.5885976,-32.348204
Scone High,"Scone High, NSW",150.8713684,-32.0564613
Scone Public,"Scone Public, NSW",150.86348,-32.0494502
Scone Snr Ctzns,"Scone Snr Ctzns, NSW",150.8745176,-32.0470865
Singleton Heights,"Singleton Heights, NSW",151.1607111,-32.5410449
Singleton High,"Singleton High, NSW",151.1770336,-32.5687399
Singleton Public,"Singleton Public, NSW",151.1707291,-32.56319
Spring Ridge,"Spring Ridge, NSW",150.2469001,-31.3870615
Stan Theiss,"Stan Theiss, NSW",150.8886579,-32.2657998
Stratford,"Stratford, NSW",151.9240697,-32.1156689
Stroud Public,"Stroud Public, NSW",151.9639407,-32.4025057
Stroud Rd,"Stroud Rd, NSW",151.9439683,-32.3458136
Ulan,"Ulan, NSW",149.7119524,-32.2820799
Vacy,"Vacy, NSW",151.568889,-32.531389
Wallabadah,"Wallabadah, NSW",150.8267755,-31.5501711
Willow Tree,"Willow Tree, NSW",150.7263152,-31.6486386
Wingen,"Wingen, NSW",150.8780943,-31.8919043
Dungog EVC,"Dungog EVC, NSW",151.7577657,-32.4003878
Gloucester EVC,"Gloucester EVC, NSW",151.95875,-32.0233309
Muswellbrook EVC,"Muswellbrook EVC, NSW",150.8920505,-32.2665684
Quirindi EVC,"Quirindi EVC, NSW",150.68,-31.508056
Scone EVC,"Scone EVC, NSW",150.8679907,-32.0497805
Sydney EVC,"Sydney EVC, NSW",151.2077171,-33.8634508
Upper Hunter EVC,"Upper Hunter EVC, NSW",150.6749653,-32.0224523
