lab,party,v21,p21,v19,p19,s,fed_div
Aberdeen,O'Connell,154,19.642857142857142,NA,NA,19.642857142857142,New England
Booral,O'Connell,33,6.2857142857142865,NA,NA,6.2857142857142865,Lyne
Branxton,O'Connell,52,8.293460925039872,NA,NA,8.293460925039872,Hunter
Caroona,O'Connell,14,9.722222222222223,NA,NA,9.722222222222223,New England
Cassilis,O'Connell,25,16.778523489932887,NA,NA,16.778523489932887,New England
Clarence Town,O'Connell,30,2.321981424148607,NA,NA,2.321981424148607,Lyne
Denman,O'Connell,93,10.532276330690827,NA,NA,10.532276330690827,Hunter
Dungog,O'Connell,41,4.812206572769953,NA,NA,4.812206572769953,Lyne
Elderslie,O'Connell,40,11.396011396011396,NA,NA,11.396011396011396,Hunter
Glendon,O'Connell,24,10.38961038961039,NA,NA,10.38961038961039,Hunter
Gloucester,O'Connell,64,5.3156146179401995,NA,NA,5.3156146179401995,Lyne
Gresford,O'Connell,26,5.284552845528456,NA,NA,5.284552845528456,Lyne
Jerrys Plains,O'Connell,25,16.55629139072848,NA,NA,16.55629139072848,Hunter
Kirkton,O'Connell,18,6.405693950177936,NA,NA,6.405693950177936,Hunter
Merriwa,O'Connell,128,16.601815823605705,NA,NA,16.601815823605705,New England
Moonan Flat,O'Connell,21,25.925925925925924,NA,NA,25.925925925925924,New England
Mt Pleasant,O'Connell,6,5,NA,NA,5,Hunter
Murrurundi,O'Connell,79,12.006079027355623,NA,NA,12.006079027355623,New England
Muswellbrook,O'Connell,140,6.9238377843719086,NA,NA,6.9238377843719086,Hunter
Paterson,O'Connell,33,5.254777070063694,NA,NA,5.254777070063694,Lyne
Quirindi,O'Connell,118,11.51219512195122,NA,NA,11.51219512195122,New England
Sandy Hollow,O'Connell,25,10.638297872340425,NA,NA,10.638297872340425,Hunter
Scone High,O'Connell,105,17.61744966442953,NA,NA,17.61744966442953,New England
Scone Public,O'Connell,170,17.102615694164992,NA,NA,17.102615694164992,New England
Scone Snr Ctzns,O'Connell,68,15.489749430523919,NA,NA,15.489749430523919,New England
Singleton Heights,O'Connell,106,5.263157894736842,NA,NA,5.263157894736842,Hunter
Singleton High,O'Connell,98,6.5420560747663545,NA,NA,6.5420560747663545,Hunter
Singleton Public,O'Connell,48,7.29483282674772,NA,NA,7.29483282674772,Hunter
Spring Ridge,O'Connell,25,16.447368421052634,NA,NA,16.447368421052634,New England
Stan Theiss,O'Connell,66,10.492845786963434,NA,NA,10.492845786963434,Hunter
Stratford,O'Connell,18,7.4074074074074066,NA,NA,7.4074074074074066,Lyne
Stroud Public,O'Connell,23,4.23572744014733,NA,NA,4.23572744014733,Lyne
Stroud Rd,O'Connell,12,6.185567010309279,NA,NA,6.185567010309279,Lyne
Ulan,O'Connell,14,5.785123966942149,NA,NA,5.785123966942149,Calare
Vacy,O'Connell,20,3.4423407917383817,NA,NA,3.4423407917383817,Lyne
Wallabadah,O'Connell,24,11.76470588235294,NA,NA,11.76470588235294,New England
Willow Tree,O'Connell,35,13.88888888888889,NA,NA,13.88888888888889,New England
Wingen,O'Connell,39,30.23255813953488,NA,NA,30.23255813953488,New England
Dungog EVC,O'Connell,34,2.1656050955414012,NA,NA,2.1656050955414012,Lyne
Gloucester EVC,O'Connell,77,4.440599769319493,NA,NA,4.440599769319493,Lyne
Muswellbrook EVC,O'Connell,456,8.707275157532939,NA,NA,8.707275157532939,Hunter
Quirindi EVC,O'Connell,118,10.216450216450216,NA,NA,10.216450216450216,New England
Scone EVC,O'Connell,480,17.810760667903523,NA,NA,17.810760667903523,New England
